id,lastupdated,name,code,description,url,dataavailability,metadataavailability,concepts
1,2021-08-18,Doing Business,DBS,,,Y,Y,3
2,2023-05-10,World Development Indicators,WDI,,,Y,Y,3
3,2022-09-23,Worldwide Governance Indicators,WGI,,,Y,Y,3
5,2016-03-21,Subnational Malnutrition Database,SNM,,,Y,Y,3
6,2022-12-06,International Debt Statistics,IDS,,,Y,Y,4
11,2013-02-22,Africa Development Indicators,ADI,,,Y,Y,3
12,2020-12-20,Education Statistics,EDS,,,Y,Y,3
13,2022-03-25,Enterprise Surveys,ESY,,,Y,Y,3
14,2023-05-12,Gender Statistics,GDS,,,Y,Y,3
15,2020-07-27,Global Economic Monitor,GEM,,,Y,Y,3
16,2023-05-12,Health Nutrition and Population Statistics,HNP,,,Y,Y,3
18,2021-07-23,IDA Results Measurement System,IDA,,,Y,Y,3
19,2018-09-19,Millennium Development Goals,MDG,,,Y,Y,3
20,2023-04-28,Quarterly Public Sector Debt,PSD,,,Y,Y,3
22,2023-04-27,Quarterly External Debt Statistics SDDS,QDS,,,Y,Y,3
23,2023-04-27,Quarterly External Debt Statistics GDDS,QDG,,,Y,Y,3
25,2022-06-29,Jobs,JOB,,,Y,Y,3
27,2023-06-06,Global Economic Prospects,GEP,,,Y,N,3
28,2023-04-12,Global Financial Inclusion,FDX,,,Y,Y,3
29,2023-05-23,The Atlas of Social Protection: Indicators of Resilience and Equity,GSP,,,Y,Y,3
30,2016-03-31,Exporter Dynamics Database â€“ Indicators at Country-Year Level,ED1,,,Y,N,3
31,2022-09-15,Country Policy and Institutional Assessment,CPI,,,Y,Y,3
32,2022-09-23,Global Financial Development,GFD,,,Y,N,3
33,2019-02-27,G20 Financial Inclusion Indicators,G2F,,,Y,Y,3
34,2013-04-12,Global Partnership for Education,GPE,,,Y,Y,3
35,2018-06-30,Sustainable Energy for All,SE4,,,Y,Y,3
37,2016-04-06,LAC Equity Lab,LEL,,,Y,Y,3
38,2015-04-27,Subnational Poverty,SNP,,,Y,,3
39,2022-12-13,Health Nutrition and Population Statistics by Wealth Quintile,HNQ,,,Y,Y,3
40,2023-05-12,Population estimates and projections,HPP,,,Y,Y,3
41,2015-05-22,Country Partnership Strategy for India (FY2013 - 17),CPS,,,Y,N,3
43,2023-06-08,Adjusted Net Savings,WAT,,,Y,N,3
45,2022-08-11,Indonesia Database for Policy and Economic Research,IDD,,,Y,,3
46,2022-07-22,Sustainable Development Goals ,SDG,,,Y,,3
50,2017-09-21,Subnational Population,SNT,,,Y,,3
54,2023-01-30,Joint External Debt Hub,JED,,,Y,,3
57,2023-03-08,WDI Database Archives,WDA,,,Y,Y,4
58,2019-04-25,Universal Health Coverage,UHC,,,Y,Y,3
59,2021-10-27,Wealth Accounts,WAC,,,Y,Y,3
60,2018-04-19,Economic Fitness,EFT,,,Y,Y,3
61,2019-04-25,PPPs Regulatory Quality,PRQ,,,Y,Y,3
62,2020-08-24,International Comparison Program (ICP) 2011,ICP,,,N,Y,4
63,2020-09-21,Human Capital Index,HCI,,,Y,Y,3
64,2022-09-20,Worldwide Bureaucracy Indicators,WBI,,,Y,N,3
65,2019-11-06,Health Equity and Financial Protection Indicators,HPI,,,Y,Y,3
66,2019-10-29,Logistics Performance Index,LPI,,,Y,Y,3
67,2022-11-23,PEFA 2011,PF1,,,Y,Y,4
68,2023-05-31,PEFA 2016,PF6,,,Y,Y,4
69,2019-06-27,Global Financial Inclusion and Consumer Protection Survey,RFA,,,Y,Y,3
70,2022-07-21,Economic Fitness 2,EF2,,,Y,Y,3
71,2021-09-10,International Comparison Program (ICP) 2005,IC5,,,Y,N,4
73,2019-06-27,Global Financial Inclusion and Consumer Protection Survey (Internal),RFI,,,Y,Y,3
75,2023-05-19,"Environment, Social and Governance (ESG) Data",ESG,,,Y,Y,3
76,2020-12-07,Remittance Prices Worldwide (Sending Countries),RWS,,,Y,N,3
77,2020-12-07,Remittance Prices Worldwide (Receiving Countries),RWR,,,Y,N,3
78,2020-10-21,ICP 2017,IC7,,,Y,Y,4
79,2023-05-31,PEFA_GRPFM,GRP,,,Y,Y,4
80,2020-07-25,Gender Disaggregated Labor Database (GDLD),GDL,,,Y,N,4
81,2022-12-06, International Debt Statistics: DSSI,DSI,,,Y,N,4
82,2021-03-24,Global Public Procurement,GPP,,,Y,N,3
83,2021-04-01,Statistical Performance Indicators (SPI),SPI,,,Y,Y,3
84,2023-01-30,Education Policy,EDP,,,Y,Y,3
85,2023-04-19,PEFA_2021_SNG,SNG,,,Y,N,4
86,2023-05-22,Global Jobs Indicators Database (JOIN),JON,,,Y,Y,3
87,2022-10-07,Country Climate and Development Report (CCDR),CCD,,,Y,Y,3
88,2023-03-30,Food Prices for Nutrition,FPN,,,Y,Y,4
89,2022-12-21,Identification for Development (ID4D) Data,ID4,,,Y,Y,3
